26.391,31.995
49.727,12.965
98.272,102.48
57.086,56.925
41.772,98.005
86.025,46.974
32.169,48.391
17.645,21.197
65.521,13.978
90.119,9.5403
72.912,81.172
72.775,53.092
62.701,37.632
82.469,26.896
44.848,70.562
100.94,85.571
52.678,38.635
89.763,87.483
89.158,61.283
70.248,66.704
92.431,27.476
30.592,25.071
51.021,26.482
37.668,39.878
16.552,34.248
56.861,65.853
104.31,62.681
44.744,106.8
11.774,96.517
21.655,80.123
57.417,85.905
79.504,98.372
97.092,41.416
11.054,82.407
98.472,68.987
69.767,93.944
105.87,79.269
12.243,15.145
14.047,47.926
60.688,49.68
9.5487,106.41
62.787,102.27
38.145,78.11
77.811,74.653
107.91,25.112
