0,1
0,7
0,9
0,21
0,22
1,6
1,8
1,10
1,12
1,13
1,18
1,29
2,1
2,7
2,13
2,22
2,23
3,6
3,8
3,18
3,26
4,5
4,13
4,15
5,3
5,11
5,15
5,18
5,23
5,24
5,29
6,0
6,2
6,15
6,16
6,20
6,23
6,28
7,0
7,8
8,5
8,14
8,25
9,5
9,11
9,16
9,23
10,3
10,4
10,7
10,17
10,28
11,6
11,13
11,16
11,23
12,1
12,2
12,22
13,3
13,5
13,7
14,0
14,9
14,13
14,15
14,16
15,10
15,12
15,23
15,26
16,0
16,2
16,9
16,14
16,21
17,3
17,5
17,6
17,14
17,18
17,23
17,27
18,7
18,15
18,22
18,24
18,29
19,2
19,4
19,6
19,11
19,12
19,17
19,23
20,14
20,26
21,4
21,5
21,27
22,9
22,15
22,24
22,28
23,15
23,20
24,1
24,5
24,6
24,9
24,15
24,20
24,22
25,2
25,3
25,27
26,0
26,17
26,19
27,0
27,4
27,6
27,12
27,24
27,26
28,3
28,8
28,9
28,29
29,9
29,11
