0,10
0,28
0,30
0,31
0,32
0,35
0,37
1,5
1,11
1,15
1,17
1,35
1,36
1,38
2,9
2,12
2,14
2,24
3,0
3,2
3,9
3,10
3,32
3,34
3,37
4,10
4,15
4,21
4,31
4,38
5,8
5,18
5,24
5,25
6,12
6,13
6,27
7,0
7,2
7,10
7,35
7,38
8,7
8,10
8,17
8,24
8,28
8,34
8,39
9,0
9,6
9,7
9,15
9,31
9,36
9,38
9,39
10,3
10,6
10,19
10,22
10,34
11,3
11,4
11,6
11,8
11,12
11,28
11,31
11,35
11,37
12,2
12,14
12,17
12,18
12,30
12,32
12,33
12,38
13,1
13,2
13,6
13,22
13,25
13,29
13,31
13,33
13,37
14,19
14,21
15,10
15,20
15,21
15,22
15,25
15,32
16,7
16,31
17,11
17,14
17,20
17,26
17,31
17,39
18,7
18,13
18,16
18,17
18,19
18,22
18,27
18,34
18,37
18,38
19,0
19,2
19,4
19,10
19,14
19,21
19,24
19,26
20,14
20,16
20,18
20,28
21,9
21,33
21,34
22,4
22,21
22,37
23,22
23,31
23,33
23,35
24,1
24,23
24,33
24,36
24,37
24,39
25,9
25,13
25,14
25,26
25,28
25,29
25,34
26,0
26,3
26,7
26,8
26,19
26,25
26,28
26,36
27,1
27,3
27,4
27,17
27,20
27,24
27,25
27,33
28,5
28,9
28,16
28,17
28,26
28,38
29,1
29,3
29,4
29,8
29,9
29,17
29,21
29,28
30,9
30,11
30,22
30,31
30,34
30,35
31,12
31,13
31,23
31,30
31,36
31,37
32,8
32,21
32,23
32,30
32,36
33,3
33,13
33,23
33,32
34,1
34,20
34,25
34,28
34,33
34,38
35,5
35,14
35,18
35,36
36,17
36,26
36,35
37,1
37,3
37,6
37,7
37,14
37,20
37,21
37,27
37,29
37,39
38,1
38,5
38,13
38,25
38,30
38,36
39,0
39,19
39,24
39,26
39,31
